Breaking Bad,CSI,Grey's Anatomy,Under the Dome,Burn Notice,House of Cards,Sons of Anarchy,Duck Dynasty,Pawn Stars,Say Yes to the Dress,Cake Boss,Dexter,The Big Bang Theory,House,House Hunters,Dr. Who,Bones,How I met your Mother,Modern Family,The Office,Adventure Time,Smallville,Mad Men,Gossip Girl,One Tree Hill,X Factor,Orange is the New Black,Criminal Black,Avatar: The Last Airbender,South Park,Family Guy,American Dad,Newsroom,Homeland,Chopped,Masterchef,Iron Chef,Hell's Kitchen,24,Lost,New Girl,Wheel of Fortune,Jeopardy,16 and Pregnant,Jersey Shore,Here Comes Honey Boo Boo,Phineas and Ferb,Arrested Development,Hannah Montana,The Daily Show,The Fairly Odd Parents,Sex and the City,30 Rock,Saturday Night Live,The Bachelor,Desperate Housewives,Game of Thrones,Sherlock,Survivor,Pretty Little Liars,Vampire Diaries,Supernatural,Pokemon,The Adventures of Winnie the Pooh,Glee,Friends,Two and a Half Men,It's Always Sunny in Philadelphia,Whose Line is it Anyways,Good Wife,Spongebob Squarepants,Justified,Boardwalk Empire,Shameless,Girls,The Walking Dead,Parks and Recreation,The Colbert Report
0,4,3,0,0,0,0,0,0,4,3,0,5,5,0,0,0,5,0,0,3,0,0,0,0,4,0,0,5,0,2,0,0,0,5,0,5,3,0,0,0,1,1,0,0,5,5,0,4,0,3,0,0,0,0,0,0,0,0,4,0,0,5,5,0,5,0,0,4,0,5,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,4,0,5,5,0,4,0,0,0,0,0,5,4,4,4,3,0,0,0,0,4,0,3,0,2,4,0,3,0,4,4,2,5,4,1,4,4,0,0,0,4,0,0,0,0,5,4,0,0,1,4,0,0,4,0,0,0,0,0,4,5
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,1,1,0,3,0,2,4,5,0,0,3,3,5,0,0,5,0,0,0,5,0,3,3,0,0,0,0,2,0,0,0,0,0,0,3
5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,3,3,4,5,0,4,0,0,0,4,0,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,3,0,4,2,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,3,3,4,2,4,3,5,3,5,4,0,5,0,0,0,0,3,0,0,5,3,3,0,0,0,4,0,5,0,0,0,0,0,0,0,2,0,5,0,1,4,5,0,0,5,3,3,0,5,3,0,0,3,5,5,4,5,0,0,0,0,4,0,0,0,0,0,0,0
5,3,2,2,0,0,0,2,4,0,1,0,1,5,0,3,0,5,4,0,5,0,0,0,0,0,0,0,4,3,1,1,0,0,1,1,1,2,3,5,4,2,2,1,1,1,2,5,1,5,3,0,4,2,0,0,0,0,0,1,1,0,3,2,1,4,1,4,5,0,4,0,0,0,0,0,0,3
0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,4,0,4,4,4,5,0,0,0,0,3,0,0,5,3,4,0,0,0,0,3,3,3,0,0,0,3,4,1,1,1,5,0,4,0,5,0,0,3,0,0,0,4,0,0,0,4,5,4,3,3,0,0,0,0,5,0,0,0,0,4,0,0
0,2,0,2,0,0,0,0,0,0,3,0,0,5,1,0,3,0,0,0,5,0,0,0,0,4,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,3,0,2,0,1,0,0,0,0,0,0,5,0,0,0,3,5,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,4,5,3,0,0,0,4,0,0,5,5,5,4,0,0,0,5,0,4,0,0,0,3,3,0,1,1,5,0,1,4,5,0,0,5,0,0,0,5,0,0,0,0,4,0,1,3,0,0,4,0,5,0,0,0,0,0,0,4
0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,4,4,0,0,0,0,5,3,5,4,0,0,5,4,0,0,0,5,5,0,0,0,5,5,4,0,0,5,4,0,0,0,4,0,4,4,4,5,0,3,4,2,3,3,4,3,0,5,0,5,5,0,3,4,0,0,0,4,5,5,0,3,3,3,0,0,0,4,0,5,0,0,0,3,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,3,2,0,0,0,0,5,4,0,2,0,0,5,0,0,0,5,3,5,0,0,0,0,0,0,0,0,2,4,4,3,5,0,0,0,0,0,0,0,0,2,3,0,3,0,2,0,0,4,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,5
5,0,0,0,0,0,0,0,3,0,1,0,0,4,3,0,2,0,3,4,4,4,0,0,0,1,0,0,0,4,3,2,0,0,2,2,1,2,3,4,0,2,2,0,1,1,0,4,1,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,1,3,4,4,3,0,0,0,0,3,0,2
4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,5,5,3,4,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,4,1,5,3,1,1,5,4,1,1,1,1,5,4,1,1,1,5,1,1,4,1,1,1,1,1,1,5
0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,3,5,4,0,0,0,0,0,2,0,0,0,2,3,0,0,0,4,4,0,0,0,0,0,3,3,1,2,0,4,0,2,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,5,2,0,0,0,4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,0,0,4,0,0,5,5,0,2,0,0,0,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0
0,3,0,0,4,0,0,0,0,0,0,0,5,4,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,4,0,4,5,0,0,0,4,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,0
5,0,0,0,0,4,0,2,0,0,0,2,0,0,5,0,5,0,0,0,0,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,0,1,0,0,5,0,0,0,5,0,2,0,0,5,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,4
